description,effective_domain_size,goshv,intersection_size,intersections,name,native,p_value,parents,precision,query,query_size,recall,significant,source,term_size,source_order,group_id
"""A molecular function representing the directed movement of electrons from one molecular entity to another, typically mediated by electron carriers or acceptors, resulting in the transfer of energy and/or the reduction-oxidation (redox) transformation of chemical species. This activity is fundamental to various biological processes, including cellular respiration and photosynthesis, as well as numerous enzymatic reactions involved in metabolic pathways."" [Wikipedia:Electron_transfer]",22878,2091,14,"[[], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], ['IEA'], [], [], [], ['IEA'], ['IEA'], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], ['IEA'], ['IEA'], ['IEA'], [], ['IEA'], [], ['IEA'], [], ['IEA'], ['IEA'], ['IEA'], ['IEA'], ['IEA'], ['IEA'], [], [], []]",electron transfer activity,GO:0009055,9.27432008713978e-12,['GO:0003674'],0.10294117647058823,query_1,136,0.11290322580645161,True,GO:MF,124,2091,1
"""Either of the lipid bilayers that surround the mitochondrion and form the mitochondrial envelope."" [GOC:mah, NIF_Subcellular:sao1045389829]",20029,37376,19,"[['IEA'], [], [], [], [], [], [], [], ['IDA', 'IEA'], [], [], [], [], ['IEA'], [], [], [], ['IEA'], [], ['IDA', 'IEA'], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], ['IEA'], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], ['IDA', 'IEA'], [], [], [], [], [], [], [], [], [], ['IEA'], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], ['IBA', 'IEA'], ['IEA'], ['IEA'], ['IEA'], [], ['IEA'], ['IEA'], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], ['IEA'], ['IEA'], [], [], ['IEA'], [], ['IEA'], [], [], [], [], [], [], [], [], ['IEA'], []]",mitochondrial membrane,GO:0031966,2.686085378620083e-10,"['GO:0005740', 'GO:0031090']",0.14285714285714285,query_1,133,0.05397727272727273,True,GO:CC,352,1186,5
"""The double lipid bilayer enclosing the mitochondrion and separating its contents from the cell cytoplasm; includes the intermembrane space."" [GOC:ai, GOC:pz]",20029,36496,19,"[['TAS', 'IEA'], [], [], [], [], [], [], [], ['IDA', 'IEA'], [], [], [], [], ['IEA'], [], [], [], ['IEA'], [], ['IDA', 'IEA'], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], ['IEA'], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], ['IDA', 'IEA'], [], [], [], [], [], [], [], [], [], ['IEA'], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], ['HDA', 'IBA', 'IEA'], ['HDA', 'IEA'], ['HDA', 'IEA'], ['HDA', 'IEA'], [], ['IEA'], ['IEA'], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], ['IEA'], ['IEA'], [], [], ['IEA'], [], ['IEA'], [], [], [], [], [], [], [], [], ['IEA'], []]",mitochondrial envelope,GO:0005740,5.580150256384844e-10,"['GO:0005739', 'GO:0031967']",0.14285714285714285,query_1,133,0.051771117166212535,True,GO:CC,367,306,5
"""A process in which a series of electron carriers operate together to transfer electrons from donors to any of several different terminal electron acceptors."" [GOC:mtg_electron_transport]",21925,16751,15,"[[], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], ['IEA'], [], [], [], ['IEA'], ['IEA'], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], ['IEA'], ['IEA'], ['IEA'], [], ['IEA'], ['IEA'], ['IEA'], [], [], ['TAS', 'IEA'], ['IEA'], ['IEA'], ['IEA'], ['IEA'], [], ['IEA'], []]",electron transport chain,GO:0022900,6.144089477647211e-10,['GO:0006091'],0.11194029850746269,query_1,134,0.07772020725388601,True,GO:BP,193,6597,9
"""A double membrane structure enclosing an organelle, including two lipid bilayers and the region between them. In some cases, an organelle envelope may have more than two membranes."" [GOC:mah, GOC:pz]",20029,37377,34,"[['HDA', 'TAS', 'IEA'], [], [], ['HDA', 'TAS', 'IEA'], [], [], [], [], ['IDA', 'IEA'], [], [], [], [], ['IEA'], [], [], [], ['IEA'], [], ['IDA', 'IEA'], [], [], [], [], [], [], [], [], [], [], [], [], [], [], ['IDA', 'HDA', 'IEA'], [], [], [], [], [], [], [], ['IDA', 'IEA'], ['IDA', 'HDA'], [], [], [], [], [], [], [], [], [], [], [], [], [], [], ['IDA', 'IEA'], [], [], [], [], [], ['IEA'], [], [], [], ['IEA'], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], ['HDA', 'IBA', 'IEA'], ['HDA', 'IEA'], ['HDA', 'IEA'], ['HDA', 'IEA'], [], ['IEA'], ['IEA'], ['HDA', 'IEA'], [], ['HDA'], [], ['IEA'], [], [], [], [], [], [], [], ['IDA', 'HDA', 'IEA'], ['IDA', 'HDA', 'IEA'], [], ['IEA'], ['IEA'], [], [], ['IEA'], [], ['IEA'], [], [], ['HDA', 'IEA'], ['HDA', 'IEA'], ['HDA', 'IEA'], ['HDA', 'IEA'], ['HDA', 'IEA'], ['HDA'], ['IEA'], []]",organelle envelope,GO:0031967,7.1584325890379395e-09,"['GO:0043227', 'GO:0043229', 'GO:0110165']",0.2556390977443609,query_1,133,0.023415977961432508,True,GO:CC,1452,1187,5
"""A membrane that is one of the two lipid bilayers of an organelle envelope or the outermost membrane of single membrane bound organelle."" [GOC:dos, GOC:mah]",20029,37207,42,"[['IEA'], [], [], ['TAS', 'IEA'], [], [], [], ['IDA', 'IEA'], ['IDA', 'IEA'], [], [], [], [], ['IEA'], [], [], [], ['IEA'], [], ['IDA', 'IEA'], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], ['IEA'], ['IDA', 'IEA'], [], [], [], [], [], [], [], [], [], [], [], ['IEA'], ['IEA'], [], [], ['IDA', 'IEA'], [], [], [], [], [], ['IEA'], [], [], [], ['IEA'], [], [], [], ['IEA'], ['IEA'], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], ['IEA'], [], [], [], [], [], ['IEA'], [], [], [], [], [], [], [], [], [], [], ['IEA'], [], ['IBA', 'IEA'], ['IEA'], ['IEA'], ['IEA'], [], ['IEA'], ['IEA'], ['HDA', 'IEA'], [], ['HDA', 'IEA'], [], ['IEA'], [], [], ['IDA', 'IEA'], [], [], [], [], ['HDA', 'IEA'], ['HDA', 'IEA'], [], ['IEA'], ['IEA'], [], [], ['IEA'], [], ['IEA'], [], [], ['HDA', 'IEA'], ['HDA', 'IEA'], ['HDA', 'IEA'], ['HDA', 'IEA'], ['HDA', 'IEA'], ['HDA'], ['IEA'], []]",organelle membrane,GO:0031090,2.459091220259085e-07,"['GO:0016020', 'GO:0043227']",0.3157894736842105,query_1,133,0.01740571902196436,True,GO:CC,2413,1017,5
"""Enables the transfer of a proton from one side of a membrane to the other."" [GOC:ai]",22878,2250,11,"[[], [], [], [], [], [], [], [], [], [], [], [], [], ['IEA'], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], ['IEA'], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], ['IEA'], [], [], [], [], [], [], [], [], [], ['IEA'], ['IEA'], [], ['IEA'], ['IEA'], ['IEA'], [], ['IEA'], [], ['IEA'], [], ['IEA'], [], [], [], [], [], [], [], []]",proton transmembrane transporter activity,GO:0015078,1.112504497886611e-06,"['GO:0008324', 'GO:0022890']",0.08088235294117647,query_1,136,0.07006369426751592,True,GO:MF,157,2250,1
"""The chemical reactions and pathways resulting in the formation of precursor metabolites, substances from which energy is derived, and any process involved in the liberation of energy from these substances."" [GOC:jl]",21925,12104,17,"[[], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], ['IEA'], [], [], [], ['IEA'], ['IEA'], [], [], [], [], [], ['TAS', 'IEA'], [], [], [], [], [], [], [], [], ['IEA'], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], ['IEA'], ['IEA'], ['IEA'], [], ['IEA'], ['IEA'], ['IEA'], [], [], ['TAS', 'IEA'], ['IEA'], ['IEA'], ['IEA'], ['IMP', 'IEA'], [], ['TAS', 'IEA'], []]",generation of precursor metabolites and energy,GO:0006091,2.296618221497355e-06,['GO:0008152'],0.12686567164179105,query_1,134,0.0367965367965368,True,GO:BP,462,1950,9
"""Enables the transfer of an ion from one side of a membrane to the other up the solute's concentration gradient. This is carried out by binding the solute and undergoing a series of conformational changes. Transport works equally well in either direction."" [GOC:mtg_transport, ISBN:0815340729]",22878,3552,9,"[[], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], ['IEA'], [], [], [], [], [], [], [], [], [], ['IEA'], ['IEA'], [], ['IEA'], ['IEA'], ['IEA'], [], ['IEA'], [], ['IEA'], [], ['IEA'], [], [], [], [], [], [], [], []]",active monoatomic ion transmembrane transporter activity,GO:0022853,6.117261189480483e-06,"['GO:0015075', 'GO:0015399']",0.0661764705882353,query_1,136,0.08490566037735849,True,GO:MF,106,3552,1
"""A semiautonomous, self replicating organelle that occurs in varying numbers, shapes, and sizes in the cytoplasm of virtually all eukaryotic cells. It is notably the site of tissue respiration."" [GOC:giardia, ISBN:0198506732]",20029,36495,31,"[['HDA', 'TAS', 'IEA'], [], [], [], [], [], [], [], ['IDA', 'HDA', 'IEA'], [], [], [], [], ['HDA', 'IEA'], [], [], [], ['IDA', 'HDA', 'IEA'], [], ['IDA', 'HDA', 'IEA'], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], ['IEA'], ['HDA'], [], [], [], [], [], [], [], [], [], [], ['HDA'], [], [], [], ['IDA', 'HDA', 'IEA'], ['IDA', 'HDA'], [], [], [], [], [], [], [], [], ['IDA', 'HDA', 'TAS', 'IEA'], [], [], [], [], [], [], [], [], [], [], [], [], [], ['IDA', 'IEA'], [], [], [], [], [], [], [], [], ['HDA'], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], ['IDA', 'HDA', 'IBA', 'IEA'], ['HDA', 'IEA'], ['HDA', 'IEA'], ['IDA', 'HDA', 'IEA'], [], ['HDA', 'IEA'], ['HDA', 'IEA'], [], [], ['HDA'], [], [], [], [], [], [], [], [], [], ['HDA'], [], ['IEA'], ['IEA'], ['IEA'], ['IEA'], ['IEA'], ['IEA'], ['IEA'], ['IEA'], ['IEA'], [], [], [], [], [], [], [], ['IDA', 'IEA'], []]",mitochondrion,GO:0005739,2.7621977567316133e-05,"['GO:0005737', 'GO:0043231']",0.23308270676691728,query_1,133,0.01802325581395349,True,GO:CC,1720,305,5
