description,effective_domain_size,goshv,intersection_size,intersections,name,native,p_value,parents,precision,query,query_size,recall,significant,source,term_size,source_order,group_id
"""Extra-nucleolar nuclear domains usually visualized by confocal microscopy and fluorescent antibodies to specific proteins."" [GOC:ma, PMID:10330182]",20029,36934,6,"[[], [], [], [], ['IDA', 'IEA'], [], [], [], [], [], [], [], ['IDA', 'IEA'], ['IDA', 'IEA'], ['IDA', 'IEA'], [], [], ['IDA', 'IEA'], ['IEA'], []]",nuclear body,GO:0016604,5.2649004458155157e-08,"['GO:0005654', 'GO:0110165']",0.3157894736842105,query_1,19,0.05042016806722689,True,GO:CC,119,744,4
"""Any of a series of ribonucleoprotein complexes that contain snRNA(s) and small nuclear ribonucleoproteins (snRNPs), and are formed sequentially during the spliceosomal splicing of one or more substrate RNAs, and which also contain the RNA substrate(s) from the initial target RNAs of splicing, the splicing intermediate RNA(s), to the final RNA products. During cis-splicing, the initial target RNA is a single, contiguous RNA transcript, whether mRNA, snoRNA, etc., and the released products are a spliced RNA and an excised intron, generally as a lariat structure. During trans-splicing, there are two initial substrate RNAs, the spliced leader RNA and a pre-mRNA."" [GOC:editors, GOC:mah, ISBN:0198547684, PMID:19239890]",20029,36456,6,"[[], [], [], [], [], [], [], [], [], [], [], ['IEA'], ['ISS', 'IEA'], ['IEA'], ['IEA'], [], [], ['IEA'], ['IEA'], []]",spliceosomal complex,GO:0005681,8.99233757441993e-08,"['GO:0140513', 'GO:1990904']",0.3157894736842105,query_1,19,0.046153846153846156,True,GO:CC,130,266,4
"""A discrete extra-nucleolar subnuclear domain, 20-50 in number, in which splicing factors are seen to be localized by immunofluorescence microscopy."" [PMID:28977640]",20029,36937,5,"[[], [], [], [], [], [], [], [], [], [], [], [], ['IDA', 'IEA'], ['IDA', 'IEA'], ['IDA', 'IEA'], [], [], ['IDA', 'IEA'], ['IEA'], []]",nuclear speck,GO:0016607,6.411913968755004e-07,['GO:0016604'],0.2631578947368421,query_1,19,0.060240963855421686,True,GO:CC,83,747,4
"""The chemical reactions and pathways resulting in the formation of RNA, ribonucleic acid, one of the two main type of nucleic acid, consisting of a long, unbranched macromolecule formed from ribonucleotides joined in 3',5'-phosphodiester linkage. Includes polymerization of ribonucleotide monomers. Refers not only to transcription but also to e.g. viral RNA replication."" [GOC:mah, GOC:txnOH]",21925,17912,14,"[['IEA'], ['IEA'], [], ['IEA'], [], [], ['IDA'], [], ['IEA'], ['IEA'], [], ['TAS', 'NAS', 'IEA'], ['IGI', 'ISS', 'NAS', 'IEA'], ['TAS', 'IEA'], ['TAS', 'NAS', 'IEA'], ['TAS'], [], ['IEA'], ['IMP', 'NAS', 'IEA'], ['IDA', 'IEA']]",RNA biosynthetic process,GO:0032774,3.1790775028602526e-05,"['GO:0016070', 'GO:0141187']",0.7,query_1,20,0.004123711340206186,True,GO:BP,3395,7758,5
"""That part of the nuclear content other than the chromosomes or the nucleolus."" [GOC:ma, ISBN:0124325653]",20029,36437,6,"[[], [], [], [], ['IDA', 'IEA'], [], [], [], [], [], [], [], ['IDA', 'IEA'], ['IDA', 'IEA'], ['IDA', 'IEA'], [], [], ['IDA', 'IEA'], ['IEA'], []]",nucleoplasm,GO:0005654,3.659460227591011e-05,"['GO:0031981', 'GO:0110165']",0.3157894736842105,query_1,19,0.01680672268907563,True,GO:CC,357,247,4
"""The biosynthetic process resulting in the formation of a nucleic acid."" [GOC:dph, GOC:tb]",21925,29968,14,"[['IEA'], ['IEA'], [], ['IEA'], [], [], ['IDA'], [], ['IEA'], ['IEA'], [], ['TAS', 'NAS', 'IEA'], ['IGI', 'ISS', 'NAS', 'IEA'], ['TAS', 'IEA'], ['TAS', 'NAS', 'IEA'], ['TAS'], [], ['IEA'], ['IMP', 'NAS', 'IEA'], ['IDA', 'IEA']]",nucleic acid biosynthetic process,GO:0141187,4.223858428949984e-05,"['GO:0009059', 'GO:0034654', 'GO:0090304']",0.7,query_1,20,0.004034582132564841,True,GO:BP,3470,19814,5
"""The chemical reactions and pathways resulting in the formation of nucleobases, nucleosides, nucleotides and nucleic acids."" [GOC:mah]",21925,18799,14,"[['IEA'], ['IEA'], [], ['IEA'], [], [], ['IDA'], [], ['IEA'], ['IEA'], [], ['TAS', 'NAS', 'IEA'], ['IGI', 'ISS', 'NAS', 'IEA'], ['TAS', 'IEA'], ['TAS', 'NAS', 'IEA'], ['TAS'], [], ['IEA'], ['IMP', 'NAS', 'IEA'], ['IDA', 'IEA']]",nucleobase-containing compound biosynthetic process,GO:0034654,9.364636579965123e-05,"['GO:0006139', 'GO:0009058']",0.7,query_1,20,0.003794037940379404,True,GO:BP,3690,8645,5
"""The cellular chemical reactions and pathways involving RNA, ribonucleic acid, one of the two main type of nucleic acid, consisting of a long, unbranched macromolecule formed from ribonucleotides joined in 3',5'-phosphodiester linkage."" [ISBN:0198506732]",21925,15226,14,"[['IEA'], ['IEA'], [], ['IEA'], [], [], ['IDA'], [], ['IEA'], ['IEA'], [], ['TAS', 'NAS', 'IEA'], ['IGI', 'ISS', 'NAS', 'IEA'], ['TAS', 'IEA'], ['TAS', 'NAS', 'IEA'], ['TAS'], [], ['IEA'], ['IMP', 'NAS', 'IEA'], ['IDA', 'IEA']]",RNA metabolic process,GO:0016070,0.00011179168218233609,['GO:0090304'],0.7,query_1,20,0.0037423148890670943,True,GO:BP,3741,5072,5
"""Any cellular metabolic process involving nucleobases, nucleosides, nucleotides and nucleic acids."" [GOC:ai]",21925,12133,15,"[['IEA'], ['IEA'], [], ['IEA'], ['IDA', 'IMP', 'ISS', 'IEA'], [], ['IDA'], [], ['IEA'], ['IEA'], [], ['TAS', 'NAS', 'IEA'], ['IGI', 'ISS', 'NAS', 'IEA'], ['TAS', 'IEA'], ['TAS', 'NAS', 'IEA'], ['TAS'], [], ['IEA'], ['IMP', 'NAS', 'IEA'], ['IDA', 'IEA']]",nucleobase-containing compound metabolic process,GO:0006139,0.0001732676634344236,['GO:0044238'],0.75,query_1,20,0.003243243243243243,True,GO:BP,4625,1979,5
"""The process of removing sections of the primary RNA transcript to remove sequences not present in the mature form of the RNA and joining the remaining sections to form the mature form of the RNA."" [GOC:krc, GOC:mah]",21925,13326,6,"[[], [], [], [], [], [], [], [], [], [], [], ['TAS', 'NAS', 'IEA'], ['ISS', 'NAS', 'IEA'], ['TAS', 'IEA'], ['TAS', 'NAS', 'IEA'], [], [], ['IEA'], ['IMP', 'NAS', 'IEA'], []]",RNA splicing,GO:0008380,0.0002583095363409197,['GO:0006396'],0.3,query_1,20,0.016901408450704224,True,GO:BP,355,3172,5
